类别,处理后数据
农药,高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 
农药,吡虫啉 花卉蔬菜果树腻虫蚜虫飞虱蓟马跳甲农药杀虫剂 
农药,柯必达 螺螨酯柑橘红蜘蛛螨卵杀螨剂阿维菌素红蜘蛛白蜘蛛杀虫剂农药 螺螨酯
农药,富美实康宽杜邦氯虫苯甲酰胺水稻豆荚螟 蔬菜钻心虫卷叶螟杀虫剂 
农药,大丰 噻虫嗪悬浮剂番茄粉虱蚜虫稻飞虱农药杀虫剂 
农药,矿物油介壳虫锈壁虱红蜘蛛助剂杀虫剂杀螨剂果树清园剂 
农药,锐打高效氯氰菊酯溶液农药杀虫剂喷雾剂果树蔬菜花卉蚜虫菜青虫地下害虫高效广谱渝锄店 
农药,"	
花诺小白药花卉植物杀虫剂花草绿植盆栽土壤杀虫药家用花虫药除虫多肉蚧壳虫土害虫杀虫驱虫防虫吡虫啉颗 小白药"
农药,杀虫剂花卉植物杀虫药蚧壳虫蚜虫红蜘蛛月季花专用花草通用除虫剂 
农药,阿维菌素螺螨酯 柑橘葡萄红蜘蛛茶黄螨叶螨杀螨剂杀虫剂 
农药,蔬菜杀虫剂无公害植物青菜月季茉莉除菜虫药蔬菜叶蜂青虫毛虫通用 
农药,沃德伊诺 天令 吡虫啉杀虫剂腻虫植物通用蔬菜果树蚜虫除虫剂药蓟马植物杀虫高效小白药农药 
农药,吡虫啉吡虫琳蚍蚜虫药白粉虱蓟马蔬菜花卉果树蔬菜农药杀虫剂 
农药,中保 功夫高效氯氟氰菊酯 蔬菜果树花卉通用杀虫剂蚜虫菜青虫粘虫农药 
农药,锐打高效氯氰菊酯溶液农药杀虫剂喷雾剂果树蔬菜花卉蚜虫菜青虫地下害虫高效广谱渝锄店 搭配助剂
农药,高效氯氟氰菊酯蔬菜果树花卉植物农药杀虫剂菜青虫地下害虫蓟马蚜虫菜青虫粘虫食心虫 
农药,中保农药 阿维菌素 红蜘蛛螨虫青虫根结线虫通用广谱农用杀虫杀螨剂  
农药,益正源农资诺化工蜗螺斯蜗星四聚乙醛蜗牛青菜地蘑菇杀蜗牛鼻涕虫蜗牛药星药杀虫剂农药 
农药,柯必达 高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 
农药,"	
坤宁王花卉杀虫植物土壤二嗪磷小白药植物杀虫颗蚧壳虫红蜘蛛蚜虫吡虫啉小黑飞多肉杀虫盆栽防治地下害虫 小白药"
农药,东合噻虫嗪花椒果树蔬菜花卉蚜虫飞虱木虱地蛆小黑飞蓟马杀虫剂 
农药,大丰丰创严选吡虫啉颗农药杀虫剂果树花卉蔬菜月季多肉蚜虫蓟马粉虱飞虱小黑飞叶蝉植物通用 
农药,阿维菌素茵果树蔬菜花卉月季红蜘蛛螨虫线虫防治小菜蛾潜叶蛾红蜘蛛根结线虫农药 
农药,利沃风  四聚乙醛 杀灭蜗牛的药 田螺鼻涕虫蛞蝓软体虫杀虫剂撒施草坪菜地 
农药,德国拜耳艾美乐吡虫啉白粉虱蚜虫腻虫飞虱多肉花卉农药杀虫剂 
农药,矿物油柑橘红蜘蛛介壳虫粉虱白粉病清园剂农药杀螨杀虫剂果树 
农药,敌百虫辛硫磷敌百辛硫磷地下害虫杀虫剂土蚕地蛆地老虎地下害虫大 
农药,多肉土壤杀虫剂小白药介蚧壳虫专用蚜虫红蜘蛛花卉植物通用呋虫胺 
农药,中保阿维菌素 小麦水稻蔬菜通用菜青虫红蜘蛛根结线虫 杀虫剂 
农药,备能植物防虫长效土壤杀虫剂盆栽花卉杀虫剂花草颗剂花药小白药蚂蚁蚜虫小黑飞介蚧壳虫 颗剂
农药,瀚沃 辛硫磷农药乳油绿植物果树花卉小飞虫蚜虫腻虫蔬菜土壤地下害虫灌根通用杀虫剂 
农药,拜耳敌杀死 溴氰酯菊菊酯花卉蚜虫食心虫菜青虫花卉植物杀虫剂 
农药,勇冠 立达腈 吡虫啉 水分散剂农药 吡虫林吡虫灵比虫林虫啉高含量防治甘蓝蔬菜蚜虫虫害农用杀虫剂
农药,戈击 爱卡螨爱利思达联苯肼酯月季花卉茶树玫瑰草莓兰花茉莉红蜘蛛茶黄螨白蜘蛛二斑叶螨农药杀螨剂 
农药,瀚沃 拜耳敌杀死 溴氰酯菊菊酯茶树果树花卉蔬菜潜叶蛾蚜虫叶蝉食心虫盲粘虫农药杀虫剂 
农药,德国拜耳亩旺螺虫乙酯蚜虫介蚧壳虫农药杀虫剂哈速腾 亩旺
农药,利沃风  美国爱利思达爱卡螨金满枝联苯肼酯玫瑰茶黄月季红蜘蛛杀虫剂蔬菜果树杀螨剂 金满枝爱卡螨
农药,戈击 先正达福戈 氯虫苯甲酰胺噻虫嗪稻纵卷叶螟二化螟褐飞虱杀虫剂农药 
农药,阿维哒螨灵  阿维菌素哒螨灵红知蛛哒满灵月季柑橘红蜘蛛螨虫农药杀螨剂杀虫药 
农药,大丰 杀虫剂阿维菌素乳油果树蔬菜水稻花卉螨虫红蜘蛛根结线虫杀螨 
农药,戈击阿维啶虫脒中保季多标蓟多标阿维菌素啶虫脒草莓豆角黄瓜蓟马星杀虫杀卵农药杀虫剂农药农资店 
农药,天令 蚧必治吡虫噻嗪酮花卉果树柑橘蚧壳虫多肉小白虫介壳虫粉虱通用农药杀虫剂 
农药,农药阿维菌素蔬菜花卉果树高效农用红蜘蛛小菜蛾茶黄螨杀螨蚜虫根结线虫螨虫除虫药杀虫剂 
农药,中易农资 阿维菌素 红蜘蛛螨虫腻虫潜叶蝇根结线虫生物杀虫剂农药  一
农药,中保 中国农科院苦参碱绿色生物农药菜青虫蚜虫杀虫剂有机蔬菜作物基地用药
农药,蓟马蚜虫药杀虫药高抗性蓟马专用杀虫剂杀虫杀卵 
农药,金满枝 丁氟螨酯 月季 花卉草莓柑橘叶螨 红蜘蛛 杀螨剂  金满枝美国富美实 安全进口农药杀虫剂 
农药,红蜘蛛茶黄螨全爪螨二斑叶螨蔬菜果树杀螨螺螨酯防治柑橘红蜘蛛螨卵杀螨剂阿维菌素红蜘蛛白蜘蛛杀虫剂 
农药,爱卡螨金满枝红蜘蛛专用药联苯肼酯植物月季草莓茶黄螨杀螨剂 
农药,农药 啶虫脒 果树蔬菜花卉蚜虫粉虱腻虫蓟马跳甲广谱杀虫剂 
农药,勇冠 联菊啶虫脒 农药白粉虱专用药飞虱蚜虫小黑飞联菊啶虫脒花卉瓜柑橘果树蔬菜杀虫剂 农用 
农药,中保联苯菊酯杀虫剂 杀粉虱茶尺蠖茶毛虫白蚁农药 
农药,大丰 小白药 吡虫啉 多肉蚧壳虫蚜虫专用防月季花卉植物通用土壤杀虫剂 
农药,法国进口 梅塔 四聚乙醛 福寿螺 蜗牛 鼻涕虫杀虫剂 
农药,戈击 一帆威龙哒螨螺螨酯哒螨灵螺螨酯复配月季花卉柑橘果树红蜘蛛专用药锈壁虱农药杀螨剂杀虫剂 
农药,地下害虫专用杀虫剂辛硫磷颗剂辛硫麟土壤土虫丹地老虎蛴螬蝼蛄 农用  
农药,中保农药 吡虫啉 多肉花卉蚜虫粉虱稻飞虱 农药杀虫剂 
农药,高效氯氟氰菊酯功夫菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫 
农药,大丰 晋德威吡虫啉蚜虫杀虫剂 
农药,大灰狼 小白药介蚧壳虫专用土壤杀虫剂蚜虫红蜘蛛花卉多肉植物通用二嗪磷 小白药罐
农药,中易农资 俊  联苯菊酯杀虫剂茶小绿叶蝉粉虱蚜虫茶尺蠖茶树农药联苯菊脂杀虫剂 
农药,高效氯氟氰菊酯蔬菜果树农药杀虫剂功夫菊酯菜青虫地下害虫蚜虫食心虫农药 
农药,啶虫脒杀虫剂防治蚜虫飞虱蓟马跳甲绿叶蝉黑飞虫果树蔬菜桃蚜虫蓟马腻虫跳甲农药杀虫啶虫咪 
农药,中易农资 韩孚蚜虱一遍净  吡虫啉 果树蔬菜花卉月季多肉蚜虫飞虱蓟马小黑飞韭蛆叶蝉杀虫剂农药 
农药,蚧壳虫专用药蚧必治杀虫剂介壳灵内吸型荣邦杀扑介果树花卉多肉蚜虫白粉虱渝锄店 
农药,戈击 沪联歼飞 烯啶吡蚜酮烯啶虫胺吡蚜酮叶蝉稻飞虱蚜虫稻飞虱褐飞虱蓟马棉蚜通杀杀虫剂 
农药,坤宁王花卉杀虫植物多肉土壤二嗪磷小白药植物驱虫颗蚧壳虫红蜘蛛蚜虫吡虫啉小黑飞家用盆栽防治地下害虫 小白药
